State,Period,Rainfall average (mm)
Akwa-Ibom,1/1/2023,2976
Akwa-Ibom,2/1/2023,419
Akwa-Ibom,3/1/2023,9768
Akwa-Ibom,4/1/2023,11672
Akwa-Ibom,5/1/2023,9488
Akwa-Ibom,6/1/2023,7325
Akwa-Ibom,7/1/2023,13425
Akwa-Ibom,8/1/2023,9180
Akwa-Ibom,9/1/2023,16786
Akwa-Ibom,10/1/2023,15641
Akwa-Ibom,11/1/2023,9036
Akwa-Ibom,12/1/2023,939
Bauchi,1/1/2023,
Bauchi,2/1/2023,
Bauchi,3/1/2023,210
Bauchi,4/1/2023,471
Bauchi,5/1/2023,2032
Bauchi,6/1/2023,3456
Bauchi,7/1/2023,4847
Bauchi,8/1/2023,7779
Bauchi,9/1/2023,3681
Bauchi,10/1/2023,534
Bauchi,11/1/2023,162
Bauchi,12/1/2023,2
Benue,1/1/2023,23
Benue,2/1/2023,61
Benue,3/1/2023,2449
Benue,4/1/2023,2693
Benue,5/1/2023,6160
Benue,6/1/2023,4350
Benue,7/1/2023,5774
Benue,8/1/2023,4927
Benue,9/1/2023,9245
Benue,10/1/2023,6229
Benue,11/1/2023,3126
Benue,12/1/2023,5
Cross River,1/1/2023,1077
Cross River,2/1/2023,17
Cross River,3/1/2023,6164
Cross River,4/1/2023,5470
Cross River,5/1/2023,5655
Cross River,6/1/2023,4199
Cross River,7/1/2023,6730
Cross River,8/1/2023,5273
Cross River,9/1/2023,8618
Cross River,10/1/2023,9273
Cross River,11/1/2023,4902
Cross River,12/1/2023,129
Ebonyi,1/1/2023,118
Ebonyi,2/1/2023,2
Ebonyi,3/1/2023,3585
Ebonyi,4/1/2023,2612
Ebonyi,5/1/2023,4280
Ebonyi,6/1/2023,2420
Ebonyi,7/1/2023,3731
Ebonyi,8/1/2023,4209
Ebonyi,9/1/2023,6936
Ebonyi,10/1/2023,5109
Ebonyi,11/1/2023,2497
Ebonyi,12/1/2023,4
